date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:59	130/130	---M-Z	200	added ('OK')	text/plain	date:Fri,%2005%20Sep%202025%2016:42:59%20GMT	https://harichandanaias.com/robots.txt		(from )
22:13:02	101587/101587	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Sep%202025%2016:42:59%20GMT	https://harichandanaias.com/	D:/Websites/ias%20website/harichandanaias.com/index.html	(from )
22:13:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2005%20Sep%202025%2016:43:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Websites/ias%20website/www.googletagmanager.com/gtm.05445.delayed	(from https://harichandanaias.com/)
22:13:03	3356/3356	---M-Z	200	added ('OK')	text/css	etag:%22d1c-67d16a1b-4335d3c85bf6785e;gz%22	https://harichandanaias.com/wp-content/themes/harichandana/content/css/owl.carousel.min.css	D:/Websites/ias%20website/harichandanaias.com/wp-content/themes/harichandana/content/css/owl.carousel.min.css	(from https://harichandanaias.com/)
22:13:03	232940/232940	---M-Z	200	added ('OK')	text/css	etag:%2238dec-67d16a1b-8cdfc4b65c0c59dd;gz%22	https://harichandanaias.com/wp-content/themes/harichandana/content/css/bootstrap.min.css	D:/Websites/ias%20website/harichandanaias.com/wp-content/themes/harichandana/content/css/bootstrap.min.css	(from https://harichandanaias.com/)
22:13:03	1018/1018	---M-Z	200	added ('OK')	text/css	etag:%223fa-67d16a1b-194214439de6b90c;gz%22	https://harichandanaias.com/wp-content/themes/harichandana/content/css/owl.theme.default.min.css	D:/Websites/ias%20website/harichandanaias.com/wp-content/themes/harichandana/content/css/owl.theme.default.min.css	(from https://harichandanaias.com/)
22:13:04	58073/58073	---M-Z	200	added ('OK')	text/css	etag:%22e2d9-6899d376-4681c3528ee9e947;gz%22	https://harichandanaias.com/wp-content/themes/harichandana/content/css/style.css?ver=12	D:/Websites/ias%20website/harichandanaias.com/wp-content/themes/harichandana/content/css/stylec66d.css	(from https://harichandanaias.com/)
22:13:04	85875/85875	---MCZ	200	added ('OK')	text/css	etag:W/%2214f73-BDozLk9VXMC/015FG+lVtLk5ZqA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	D:/Websites/ias%20website/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	(from https://harichandanaias.com/)
22:13:04	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-31fb%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.css	D:/Websites/ias%20website/cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.css	(from https://harichandanaias.com/)
22:13:05	116345/116345	---M-Z	200	added ('OK')	text/css	etag:%221c679-6876d538-b177930264f7edac;gz%22	https://harichandanaias.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2?v=1757090579	D:/Websites/ias%20website/harichandanaias.com/wp-includes/css/dist/block-library/style.min33e2.css	(from https://harichandanaias.com/)
